"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",104.592625975822,-0.137614398451037,0.152581307705922,-0.901908631667179,0.367105405725594,0.613104038713406
"NAT1",598.434484547521,1.12656428443489,0.0861388057801597,13.0784757721168,4.37117532442848e-39,3.07231179945544e-37
"NAT2",18.3630221070696,-0.406986512623376,0.369955309928575,-1.10009642165144,0.271290112787333,0.51352686020732
"SERPINA3",117.033155727489,0.00307779167760086,0.149464379752009,0.020592141637409,0.983571009203254,0.993460683487804
"AAMP",1496.91384895652,-0.0647753355105303,0.056251855270303,-1.15152353996628,0.249516916640035,0.489092920266523
"AARS",10928.6595384785,0.0614975847905709,0.0414354030274038,1.48417971824478,0.137761248906231,0.338469585327669
"ABAT",999.390665728867,0.0964774633833639,0.0595305752130362,1.62063717741865,0.105095474084346,0.283974223795872
"ABCA1",374.237265481886,-1.23540165215351,0.0903090719902531,-13.6797070873106,1.34232324559162e-42,1.02259050864167e-40
"ABCA2",2201.79122864067,0.0239203682766637,0.103323252429234,0.231510020390103,0.816918601725098,0.915283693820092
"ABCA3",1133.93128632883,0.0228057103704036,0.0563210968270552,0.404923051133627,0.685534073820657,0.846690341778343
"ABCB7",695.226528482111,-0.0345543380291342,0.0663636406843541,-0.520681772018586,0.602588474464627,0.794923998042489
"ABL1",1561.41333666405,0.141716414603609,0.0476394513143206,2.97477008432732,0.00293208216643119,0.0183573839985257
"ABP1",33.8776410847671,-0.0948478362384343,0.264590979802754,-0.358469651191968,0.71999187572065,0.863288390384792
"ABL2",783.154153148203,0.169147012491174,0.0766951113238369,2.20544712135522,0.0274227345310061,0.109173179144343
"ABR",1694.31808589989,-0.124028504143396,0.0598353611863606,-2.07282953899288,0.0381881463422796,0.13999553927651
"ACAA1",945.217579435157,0.192011263598206,0.129202138829564,1.48613068899344,0.137244556263277,0.33755128522324
"ACACA",9721.87456855389,0.410108749293673,0.0399860969106835,10.2562835830096,1.1089275501006e-24,5.27992601273705e-23
"ACACB",267.901496975822,0.0525778805382387,0.100628393462933,0.522495477954801,0.60132539415046,0.794191290212982
"ACADM",1591.8856872975,0.164570673271668,0.0583390907925849,2.82093311767186,0.00478841850654741,0.0276487265160449
"ACADS",704.06116441408,-0.261551157071198,0.0682239279064087,-3.8337158984748,0.000126221915582228,0.0012087821404663
"ACADSB",2206.97013409482,-0.00810434517811266,0.0481222008283825,-0.168411773331296,0.866259346610973,0.940599198856467
"ACADVL",7037.57787443622,-0.0275343267186658,0.0362503455786234,-0.759560392574647,0.447517401825702,0.683297982194295
"ACAT1",3095.35491288265,-0.0950879376249189,0.0398751852195296,-2.38463939669295,0.0170958697856266,0.0764072787390913
"ACAT2",834.77316297946,-0.0491339710717796,0.103464979050842,-0.474885043446782,0.634868912498701,0.817007807124704
"ACCN2",69.809428844124,0.125277405869811,0.193825468219384,0.646341303961223,0.518058344106749,0.738825905910526
